"","iid","id","gender","idg","condtn","wave","round","position","order","partner","pid","match","int_corr","samerace","age_o","race_o","pf_o_att","pf_o_sin","pf_o_int","pf_o_fun","pf_o_amb","pf_o_sha","dec_o","attr_o","sinc_o","intel_o","fun_o","amb_o","shar_o","like_o","prob_o","age","field","field_cd","race","imprace","imprelig","goal","date","go_out","career","career_c","sports","tvsports","exercise","dining","museums","art","hiking","gaming","clubbing","reading","tv","theater","movies","concerts","music","shopping","yoga","exphappy","attr1_1","sinc1_1","intel1_1","fun1_1","amb1_1","shar1_1","attr2_1","sinc2_1","intel2_1","fun2_1","amb2_1","shar2_1","attr3_1","sinc3_1","fun3_1","intel3_1","amb3_1","dec","attr","sinc","intel","fun","amb","shar","like","prob","attr1_2","sinc1_2","intel1_2","fun1_2","amb1_2","shar1_2","attr3_2","sinc3_2","intel3_2","fun3_2","amb3_2","race_explained","race_explained_o","field_explained","imprelig_o","imprace_o","goal_o","date_o","go_out_o","sports_o","tvsports_o","exercise_o","dining_o","museums_o","art_o","hiking_o","gaming_o","clubbing_o","reading_o","tv_o","theater_o","movies_o","concerts_o","music_o","shopping_o","yoga_o","exphappy_o"
"41",5,5,0,9,1,1,10,4,1,1,11,0,-0.43,1,27,2,35,20,20,20,0,5,0,6,8,8,8,7,6,6,5,21,"Law",1,2,8,1,2,4,1,"lawyer",1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,20,5,25,25,10,15,50,10,10,20,5,5,6,3,6,10,8,0,5,8,8,2,2,2,7,5,15.79,13.16,18.42,15.79,15.79,21.05,6,6,9,9,9,"European","European","Law",3,7,1,5,4,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7
"42",5,5,0,9,1,1,10,4,10,2,12,0,0,1,22,2,60,0,0,40,0,0,0,6,7,10,7,6,5,7,4,21,"Law",1,2,8,1,2,4,1,"lawyer",1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,20,5,25,25,10,15,50,10,10,20,5,5,6,3,6,10,8,0,8,6,6,5,5,5,6,4,15.79,13.16,18.42,15.79,15.79,21.05,6,6,9,9,9,"European","European","Law",1,1,1,1,1,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,7
"43",5,5,0,9,1,1,10,4,7,3,13,0,-0.17,0,22,4,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,21,"Law",1,2,8,1,2,4,1,"lawyer",1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,20,5,25,25,10,15,50,10,10,20,5,5,6,3,6,10,8,0,4,6,8,8,6,5,6,5,15.79,13.16,18.42,15.79,15.79,21.05,6,6,9,9,9,"European","Asian","Law",5,3,2,7,1,7,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1,3
"44",5,5,0,9,1,1,10,4,2,4,14,1,0.08,1,23,2,30,5,15,40,5,5,1,6,8,6,8,10,10,7,7,21,"Law",1,2,8,1,2,4,1,"lawyer",1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,20,5,25,25,10,15,50,10,10,20,5,5,6,3,6,10,8,1,8,5,5,7,7,9,8,2,15.79,13.16,18.42,15.79,15.79,21.05,6,6,9,9,9,"European","European","Law",1,1,2,4,1,10,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1,8
"45",5,5,0,9,1,1,10,4,4,5,15,0,-0.16,0,24,3,30,10,20,10,10,20,0,5,9,9,7,9,5,5,7,21,"Law",1,2,8,1,2,4,1,"lawyer",1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,20,5,25,25,10,15,50,10,10,20,5,5,6,3,6,10,8,0,6,7,7,5,4,8,7,4,15.79,13.16,18.42,15.79,15.79,21.05,6,6,9,9,9,"European","Latino","Law",1,3,1,4,1,9,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1,5
"46",5,5,0,9,1,1,10,4,3,6,16,0,0.06,1,25,2,50,0,30,10,0,10,0,5,8,7,7,7,7,6,7,21,"Law",1,2,8,1,2,4,1,"lawyer",1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,20,5,25,25,10,15,50,10,10,20,5,5,6,3,6,10,8,1,5,6,7,5,7,8,7,3,15.79,13.16,18.42,15.79,15.79,21.05,6,6,9,9,9,"European","European","Law",2,9,1,5,1,7,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1,7
"47",5,5,0,9,1,1,10,4,8,7,17,0,-0.05,1,30,2,35,15,25,10,5,10,0,2,3,4,4,5,3,3,3,21,"Law",1,2,8,1,2,4,1,"lawyer",1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,20,5,25,25,10,15,50,10,10,20,5,5,6,3,6,10,8,1,6,6,8,5,5,6,6,3,15.79,13.16,18.42,15.79,15.79,21.05,6,6,9,9,9,"European","European","Law",1,1,3,3,2,8,2,9,7,7,5,4,2,6,4,2,7,9,7,7,2,2,4
"48",5,5,0,9,1,1,10,4,9,8,18,0,0.07,1,27,2,33.33,11.11,11.11,11.11,11.11,22.22,0,5,5,6,5,5,5,6,5,21,"Law",1,2,8,1,2,4,1,"lawyer",1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,20,5,25,25,10,15,50,10,10,20,5,5,6,3,6,10,8,1,5,5,7,6,7,5,6,4,15.79,13.16,18.42,15.79,15.79,21.05,6,6,9,9,9,"European","European","Law",8,8,1,6,1,5,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1,5
"49",5,5,0,9,1,1,10,4,5,9,19,1,-0.13,1,28,2,50,0,25,10,0,15,1,5,9,9,9,9,6,7,7,21,"Law",1,2,8,1,2,4,1,"lawyer",1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,20,5,25,25,10,15,50,10,10,20,5,5,6,3,6,10,8,1,7,5,7,8,7,9,9,4,15.79,13.16,18.42,15.79,15.79,21.05,6,6,9,9,9,"European","European","Law",1,1,4,1,1,10,10,10,10,5,5,6,7,9,8,1,1,7,7,7,7,10,10
"50",5,5,0,9,1,1,10,4,6,10,20,0,-0.06,1,24,2,100,0,0,0,0,0,0,3,10,7,7,10,5,4,10,21,"Law",1,2,8,1,2,4,1,"lawyer",1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,20,5,25,25,10,15,50,10,10,20,5,5,6,3,6,10,8,1,9,6,7,9,6,5,10,3,15.79,13.16,18.42,15.79,15.79,21.05,6,6,9,9,9,"European","European","Law",1,1,1,1,1,10,10,10,10,9,9,4,10,10,8,3,8,8,6,6,5,10,6
"51",6,6,0,11,1,1,10,8,5,1,11,0,0.33,0,27,2,35,20,20,20,0,5,0,7,9,8,9,8,4,7,4,23,"law",1,4,1,1,1,3,1,"lawyer",1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,10,25,20,25,5,15,25,10,10,25,10,20,5,7,8,9,5,1,6,9,7,6,7,6,6,6,10.26,25.64,20.51,23.08,2.56,17.95,5,8,9,8,3,"Asian","European","Law",3,7,1,5,4,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7
"52",6,6,0,11,1,1,10,8,4,2,12,0,0.37,0,22,2,60,0,0,40,0,0,0,6,8,10,6,7,6,7,4,23,"law",1,4,1,1,1,3,1,"lawyer",1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,10,25,20,25,5,15,25,10,10,25,10,20,5,7,8,9,5,1,6,9,9,6,8,2,7,6,10.26,25.64,20.51,23.08,2.56,17.95,5,8,9,8,3,"Asian","European","Law",1,1,1,1,1,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,7
"53",6,6,0,11,1,1,10,8,1,3,13,0,-0.51,1,22,4,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,23,"law",1,4,1,1,1,3,1,"lawyer",1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,10,25,20,25,5,15,25,10,10,25,10,20,5,7,8,9,5,0,4,7,9,4,3,2,6,2,10.26,25.64,20.51,23.08,2.56,17.95,5,8,9,8,3,"Asian","Asian","Law",5,3,2,7,1,7,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1,3
"54",6,6,0,11,1,1,10,8,6,4,14,1,0.12,0,23,2,30,5,15,40,5,5,1,6,8,8,7,9,8,7,7,23,"law",1,4,1,1,1,3,1,"lawyer",1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,10,25,20,25,5,15,25,10,10,25,10,20,5,7,8,9,5,1,8,6,7,8,2,8,9,4,10.26,25.64,20.51,23.08,2.56,17.95,5,8,9,8,3,"Asian","European","Law",1,1,2,4,1,10,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1,8
"55",6,6,0,11,1,1,10,8,8,5,15,0,0.35,0,24,3,30,10,20,10,10,20,1,9,7,9,7,9,6,9,2,23,"law",1,4,1,1,1,3,1,"lawyer",1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,10,25,20,25,5,15,25,10,10,25,10,20,5,7,8,9,5,0,5,4,8,8,4,2,4,3,10.26,25.64,20.51,23.08,2.56,17.95,5,8,9,8,3,"Asian","Latino","Law",1,3,1,4,1,9,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1,5
"56",6,6,0,11,1,1,10,8,7,6,16,0,0.19,0,25,2,50,0,30,10,0,10,1,6,6,8,8,8,7,6,6,23,"law",1,4,1,1,1,3,1,"lawyer",1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,10,25,20,25,5,15,25,10,10,25,10,20,5,7,8,9,5,0,3,7,6,1,1,1,2,2,10.26,25.64,20.51,23.08,2.56,17.95,5,8,9,8,3,"Asian","European","Law",2,9,1,5,1,7,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1,7
"57",6,6,0,11,1,1,10,8,2,7,17,0,0.47,0,30,2,35,15,25,10,5,10,0,5,6,8,4,5,4,3,3,23,"law",1,4,1,1,1,3,1,"lawyer",1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,10,25,20,25,5,15,25,10,10,25,10,20,5,7,8,9,5,1,8,8,8,8,3,4,8,7,10.26,25.64,20.51,23.08,2.56,17.95,5,8,9,8,3,"Asian","European","Law",1,1,3,3,2,8,2,9,7,7,5,4,2,6,4,2,7,9,7,7,2,2,4
"58",6,6,0,11,1,1,10,8,3,8,18,0,0.03,0,27,2,33.33,11.11,11.11,11.11,11.11,22.22,0,6,7,8,7,8,5,7,6,23,"law",1,4,1,1,1,3,1,"lawyer",1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,10,25,20,25,5,15,25,10,10,25,10,20,5,7,8,9,5,0,4,8,9,2,8,3,5,5,10.26,25.64,20.51,23.08,2.56,17.95,5,8,9,8,3,"Asian","European","Law",8,8,1,6,1,5,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1,5
"59",6,6,0,11,1,1,10,8,9,9,19,1,0.46,0,28,2,50,0,25,10,0,15,1,6,7,7,6,6,6,6,6,23,"law",1,4,1,1,1,3,1,"lawyer",1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,10,25,20,25,5,15,25,10,10,25,10,20,5,7,8,9,5,1,7,6,8,8,6,9,9,6,10.26,25.64,20.51,23.08,2.56,17.95,5,8,9,8,3,"Asian","European","Law",1,1,4,1,1,10,10,10,10,5,5,6,7,9,8,1,1,7,7,7,7,10,10
"60",6,6,0,11,1,1,10,8,10,10,20,0,0.43,0,24,2,100,0,0,0,0,0,0,7,10,10,6,10,7,6,7,23,"law",1,4,1,1,1,3,1,"lawyer",1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,10,25,20,25,5,15,25,10,10,25,10,20,5,7,8,9,5,1,8,9,9,9,10,7,9,8,10.26,25.64,20.51,23.08,2.56,17.95,5,8,9,8,3,"Asian","European","Law",1,1,1,1,1,10,10,10,10,9,9,4,10,10,8,3,8,8,6,6,5,10,6
"61",7,7,0,13,1,1,10,5,2,1,11,0,0.19,0,27,2,35,20,20,20,0,5,0,7,8,8,8,7,7,7,4,22,"Law",1,4,2,4,1,5,1,"Law",1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,15,15,25,20,15,10,30,12,13,25,10,10,6,6,5,7,7,0,4,8,8,5,7,4,7,4,0,0,0,0,0,0,0,0,0,0,0,"Asian","European","Law",3,7,1,5,4,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7
"62",7,7,0,13,1,1,10,5,1,2,12,0,0.21,0,22,2,60,0,0,40,0,0,1,7,9,10,6,6,5,8,4,22,"Law",1,4,2,4,1,5,1,"Law",1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,15,15,25,20,15,10,30,12,13,25,10,10,6,6,5,7,7,0,6,6,8,4,9,4,7,3,0,0,0,0,0,0,0,0,0,0,0,"Asian","European","Law",1,1,1,1,1,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,7
"63",7,7,0,13,1,1,10,5,8,3,13,0,0.52,1,22,4,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,22,"Law",1,4,2,4,1,5,1,"Law",1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,15,15,25,20,15,10,30,12,13,25,10,10,6,6,5,7,7,0,3,6,8,7,8,8,7,8,0,0,0,0,0,0,0,0,0,0,0,"Asian","Asian","Law",5,3,2,7,1,7,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1,3
"64",7,7,0,13,1,1,10,5,3,4,14,1,-0.46,0,23,2,30,5,15,40,5,5,1,8,8,9,8,9,9,8,7,22,"Law",1,4,2,4,1,5,1,"Law",1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,15,15,25,20,15,10,30,12,13,25,10,10,6,6,5,7,7,1,7,8,8,7,7,6,8,6,0,0,0,0,0,0,0,0,0,0,0,"Asian","European","Law",1,1,2,4,1,10,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1,8
"65",7,7,0,13,1,1,10,5,5,5,15,0,-0.27,0,24,3,30,10,20,10,10,20,1,8,7,9,6,9,5,8,4,22,"Law",1,4,2,4,1,5,1,"Law",1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,15,15,25,20,15,10,30,12,13,25,10,10,6,6,5,7,7,0,4,7,7,4,8,5,5,6,0,0,0,0,0,0,0,0,0,0,0,"Asian","Latino","Law",1,3,1,4,1,9,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1,5
"66",7,7,0,13,1,1,10,5,4,6,16,0,0.59,0,25,2,50,0,30,10,0,10,1,8,8,8,6,6,6,7,7,22,"Law",1,4,2,4,1,5,1,"Law",1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,15,15,25,20,15,10,30,12,13,25,10,10,6,6,5,7,7,0,4,8,7,4,5,4,5,5,0,0,0,0,0,0,0,0,0,0,0,"Asian","European","Law",2,9,1,5,1,7,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1,7
"67",7,7,0,13,1,1,10,5,9,7,17,0,0.31,0,30,2,35,15,25,10,5,10,0,7,6,5,4,4,3,5,4,22,"Law",1,4,2,4,1,5,1,"Law",1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,15,15,25,20,15,10,30,12,13,25,10,10,6,6,5,7,7,1,7,7,8,7,7,7,8,7,0,0,0,0,0,0,0,0,0,0,0,"Asian","European","Law",1,1,3,3,2,8,2,9,7,7,5,4,2,6,4,2,7,9,7,7,2,2,4
"68",7,7,0,13,1,1,10,5,10,8,18,0,0.08,0,27,2,33.33,11.11,11.11,11.11,11.11,22.22,1,8,7,6,7,7,5,7,5,22,"Law",1,4,2,4,1,5,1,"Law",1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,15,15,25,20,15,10,30,12,13,25,10,10,6,6,5,7,7,0,5,7,8,5,9,5,5,7,0,0,0,0,0,0,0,0,0,0,0,"Asian","European","Law",8,8,1,6,1,5,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1,5
"69",7,7,0,13,1,1,10,5,6,9,19,1,-0.34,0,28,2,50,0,25,10,0,15,1,9,7,9,9,9,10,9,9,22,"Law",1,4,2,4,1,5,1,"Law",1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,15,15,25,20,15,10,30,12,13,25,10,10,6,6,5,7,7,1,6,6,8,8,8,6,6,6,0,0,0,0,0,0,0,0,0,0,0,"Asian","European","Law",1,1,4,1,1,10,10,10,10,5,5,6,7,9,8,1,1,7,7,7,7,10,10
"70",7,7,0,13,1,1,10,5,7,10,20,0,-0.16,0,24,2,100,0,0,0,0,0,0,7,6,8,6,8,7,7,7,22,"Law",1,4,2,4,1,5,1,"Law",1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,15,15,25,20,15,10,30,12,13,25,10,10,6,6,5,7,7,1,8,6,7,7,8,6,7,5,0,0,0,0,0,0,0,0,0,0,0,"Asian","European","Law",1,1,1,1,1,10,10,10,10,9,9,4,10,10,8,3,8,8,6,6,5,10,6
"71",8,8,0,15,1,1,10,10,7,1,11,0,-0.03,1,27,2,35,20,20,20,0,5,0,8,7,6,6,6,5,7,4,25,"Masters in Public Administration",13,2,1,1,1,5,1,"Journalist",6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,9.09,18.18,27.27,18.18,18.18,9.09,30,10,20,30,5,5,7,4,8,8,8,1,5,8,7,4,7,5,4,5,0,0,0,0,0,0,0,0,0,0,0,"European","European","Political Science/International Affairs",3,7,1,5,4,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7
"72",8,8,0,15,1,1,10,10,6,2,12,1,-0.11,1,22,2,60,0,0,40,0,0,1,8,8,10,7,6,5,9,4,25,"Masters in Public Administration",13,2,1,1,1,5,1,"Journalist",6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,9.09,18.18,27.27,18.18,18.18,9.09,30,10,20,30,5,5,7,4,8,8,8,1,8,7,7,9,6,7,8,7,0,0,0,0,0,0,0,0,0,0,0,"European","European","Political Science/International Affairs",1,1,1,1,1,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,7
"73",8,8,0,15,1,1,10,10,3,3,13,1,0.42,0,22,4,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,25,"Masters in Public Administration",13,2,1,1,1,5,1,"Journalist",6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,9.09,18.18,27.27,18.18,18.18,9.09,30,10,20,30,5,5,7,4,8,8,8,1,5,8,8,6,7,7,5,5,0,0,0,0,0,0,0,0,0,0,0,"European","Asian","Political Science/International Affairs",5,3,2,7,1,7,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1,3
"74",8,8,0,15,1,1,10,10,8,4,14,1,-0.4,1,23,2,30,5,15,40,5,5,1,8,8,8,8,8,7,8,7,25,"Masters in Public Administration",13,2,1,1,1,5,1,"Journalist",6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,9.09,18.18,27.27,18.18,18.18,9.09,30,10,20,30,5,5,7,4,8,8,8,1,8,6,5,6,6,5,5,6,0,0,0,0,0,0,0,0,0,0,0,"European","European","Political Science/International Affairs",1,1,2,4,1,10,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1,8
"75",8,8,0,15,1,1,10,10,10,5,15,1,-0.23,0,24,3,30,10,20,10,10,20,1,9,9,8,9,0,7,9,7,25,"Masters in Public Administration",13,2,1,1,1,5,1,"Journalist",6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,9.09,18.18,27.27,18.18,18.18,9.09,30,10,20,30,5,5,7,4,8,8,8,1,6,8,8,5,6,7,6,5,0,0,0,0,0,0,0,0,0,0,0,"European","Latino","Political Science/International Affairs",1,3,1,4,1,9,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1,5
"76",8,8,0,15,1,1,10,10,9,6,16,1,0.28,1,25,2,50,0,30,10,0,10,1,8,7,7,7,8,7,7,6,25,"Masters in Public Administration",13,2,1,1,1,5,1,"Journalist",6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,9.09,18.18,27.27,18.18,18.18,9.09,30,10,20,30,5,5,7,4,8,8,8,1,6,8,8,5,6,7,6,5,0,0,0,0,0,0,0,0,0,0,0,"European","European","Political Science/International Affairs",2,9,1,5,1,7,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1,7
