"","iid","gender","match","samerace","age_o","pf_o_att","pf_o_sin","pf_o_int","pf_o_fun","pf_o_amb","pf_o_sha","attr_o","sinc_o","intel_o","fun_o","amb_o","shar_o","prob_o","age","undergra","mn_sat","tuition","imprace","imprelig","goal","date","go_out","sports","tvsports","exercise","dining","museums","art","hiking","gaming","clubbing","reading","tv","theater","movies","concerts","music","shopping","yoga","exphappy","attr1_1","sinc1_1","intel1_1","fun1_1","amb1_1","shar1_1","attr2_1","sinc2_1","intel2_1","fun2_1","amb2_1","shar2_1","attr3_1","sinc3_1","fun3_1","intel3_1","amb3_1","attr","sinc","intel","fun","amb","shar","prob","attr1_2","sinc1_2","intel1_2","fun1_2","amb1_2","shar1_2","attr3_2","sinc3_2","intel3_2","fun3_2","amb3_2","imprelig_o","imprace_o","goal_o","date_o","go_out_o","sports_o","tvsports_o","exercise_o","dining_o","museums_o","art_o","hiking_o","gaming_o","clubbing_o","reading_o","tv_o","theater_o","movies_o","concerts_o","music_o","shopping_o","yoga_o","exphappy_o"
"53",6,0,0,1,22,19,18,19,18,14,12,10,10,10,10,10,10,10,23,"","","",1,1,1,3,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,10,25,20,25,5,15,25,10,10,25,10,20,5,7,8,9,5,4,7,9,4,3,2,2,10.26,25.64,20.51,23.08,2.56,17.95,5,8,9,8,3,5,3,2,7,1,7,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1,3
"54",6,0,1,0,23,30,5,15,40,5,5,6,8,8,7,9,8,7,23,"","","",1,1,1,3,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,10,25,20,25,5,15,25,10,10,25,10,20,5,7,8,9,5,8,6,7,8,2,8,4,10.26,25.64,20.51,23.08,2.56,17.95,5,8,9,8,3,1,1,2,4,1,10,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1,8
"55",6,0,0,0,24,30,10,20,10,10,20,9,7,9,7,9,6,2,23,"","","",1,1,1,3,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,10,25,20,25,5,15,25,10,10,25,10,20,5,7,8,9,5,5,4,8,8,4,2,3,10.26,25.64,20.51,23.08,2.56,17.95,5,8,9,8,3,1,3,1,4,1,9,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1,5
"56",6,0,0,0,25,50,0,30,10,0,10,6,6,8,8,8,7,6,23,"","","",1,1,1,3,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,10,25,20,25,5,15,25,10,10,25,10,20,5,7,8,9,5,3,7,6,1,1,1,2,10.26,25.64,20.51,23.08,2.56,17.95,5,8,9,8,3,2,9,1,5,1,7,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1,7
"57",6,0,0,0,30,35,15,25,10,5,10,5,6,8,4,5,4,3,23,"","","",1,1,1,3,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,10,25,20,25,5,15,25,10,10,25,10,20,5,7,8,9,5,8,8,8,8,3,4,7,10.26,25.64,20.51,23.08,2.56,17.95,5,8,9,8,3,1,1,3,3,2,8,2,9,7,7,5,4,2,6,4,2,7,9,7,7,2,2,4
"58",6,0,0,0,27,33.33,11.11,11.11,11.11,11.11,22.22,6,7,8,7,8,5,6,23,"","","",1,1,1,3,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,10,25,20,25,5,15,25,10,10,25,10,20,5,7,8,9,5,4,8,9,2,8,3,5,10.26,25.64,20.51,23.08,2.56,17.95,5,8,9,8,3,8,8,1,6,1,5,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1,5
"59",6,0,1,0,28,50,0,25,10,0,15,6,7,7,6,6,6,6,23,"","","",1,1,1,3,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,10,25,20,25,5,15,25,10,10,25,10,20,5,7,8,9,5,7,6,8,8,6,9,6,10.26,25.64,20.51,23.08,2.56,17.95,5,8,9,8,3,1,1,4,1,1,10,10,10,10,5,5,6,7,9,8,1,1,7,7,7,7,10,10
"60",6,0,0,0,24,100,0,0,0,0,0,7,10,10,6,10,7,7,23,"","","",1,1,1,3,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,10,25,20,25,5,15,25,10,10,25,10,20,5,7,8,9,5,8,9,9,9,10,7,8,10.26,25.64,20.51,23.08,2.56,17.95,5,8,9,8,3,1,1,1,1,1,10,10,10,10,9,9,4,10,10,8,3,8,8,6,6,5,10,6
"61",7,0,0,0,27,35,20,20,20,0,5,7,8,8,8,7,7,4,22,"","","",2,4,1,5,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,15,15,25,20,15,10,30,12,13,25,10,10,6,6,5,7,7,4,8,8,5,7,4,4,0,0,0,0,0,0,0,0,0,0,0,3,7,1,5,4,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7
"62",7,0,0,0,22,60,0,0,40,0,0,7,9,10,6,6,5,4,22,"","","",2,4,1,5,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,15,15,25,20,15,10,30,12,13,25,10,10,6,6,5,7,7,6,6,8,4,9,4,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,7
"64",7,0,1,0,23,30,5,15,40,5,5,8,8,9,8,9,9,7,22,"","","",2,4,1,5,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,15,15,25,20,15,10,30,12,13,25,10,10,6,6,5,7,7,7,8,8,7,7,6,6,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,1,10,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1,8
"65",7,0,0,0,24,30,10,20,10,10,20,8,7,9,6,9,5,4,22,"","","",2,4,1,5,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,15,15,25,20,15,10,30,12,13,25,10,10,6,6,5,7,7,4,7,7,4,8,5,6,0,0,0,0,0,0,0,0,0,0,0,1,3,1,4,1,9,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1,5
"66",7,0,0,0,25,50,0,30,10,0,10,8,8,8,6,6,6,7,22,"","","",2,4,1,5,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,15,15,25,20,15,10,30,12,13,25,10,10,6,6,5,7,7,4,8,7,4,5,4,5,0,0,0,0,0,0,0,0,0,0,0,2,9,1,5,1,7,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1,7
"67",7,0,0,0,30,35,15,25,10,5,10,7,6,5,4,4,3,4,22,"","","",2,4,1,5,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,15,15,25,20,15,10,30,12,13,25,10,10,6,6,5,7,7,7,7,8,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,2,8,2,9,7,7,5,4,2,6,4,2,7,9,7,7,2,2,4
"68",7,0,0,0,27,33.33,11.11,11.11,11.11,11.11,22.22,8,7,6,7,7,5,5,22,"","","",2,4,1,5,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,15,15,25,20,15,10,30,12,13,25,10,10,6,6,5,7,7,5,7,8,5,9,5,7,0,0,0,0,0,0,0,0,0,0,0,8,8,1,6,1,5,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1,5
"69",7,0,1,0,28,50,0,25,10,0,15,9,7,9,9,9,10,9,22,"","","",2,4,1,5,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,15,15,25,20,15,10,30,12,13,25,10,10,6,6,5,7,7,6,6,8,8,8,6,6,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,1,10,10,10,10,5,5,6,7,9,8,1,1,7,7,7,7,10,10
"70",7,0,0,0,24,100,0,0,0,0,0,7,6,8,6,8,7,7,22,"","","",2,4,1,5,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,15,15,25,20,15,10,30,12,13,25,10,10,6,6,5,7,7,8,6,7,7,8,6,5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,10,10,10,10,9,9,4,10,10,8,3,8,8,6,6,5,10,6
"71",8,0,0,1,27,35,20,20,20,0,5,8,7,6,6,6,5,4,25,"","","",1,1,1,5,1,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,9.09,18.18,27.27,18.18,18.18,9.09,30,10,20,30,5,5,7,4,8,8,8,5,8,7,4,7,5,5,0,0,0,0,0,0,0,0,0,0,0,3,7,1,5,4,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7
"72",8,0,1,1,22,60,0,0,40,0,0,8,8,10,7,6,5,4,25,"","","",1,1,1,5,1,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,9.09,18.18,27.27,18.18,18.18,9.09,30,10,20,30,5,5,7,4,8,8,8,8,7,7,9,6,7,7,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,7
"73",8,0,1,0,22,19,18,19,18,14,12,10,10,10,10,10,10,10,25,"","","",1,1,1,5,1,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,9.09,18.18,27.27,18.18,18.18,9.09,30,10,20,30,5,5,7,4,8,8,8,5,8,8,6,7,7,5,0,0,0,0,0,0,0,0,0,0,0,5,3,2,7,1,7,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1,3
"74",8,0,1,1,23,30,5,15,40,5,5,8,8,8,8,8,7,7,25,"","","",1,1,1,5,1,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,9.09,18.18,27.27,18.18,18.18,9.09,30,10,20,30,5,5,7,4,8,8,8,8,6,5,6,6,5,6,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,1,10,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1,8
"75",8,0,1,0,24,30,10,20,10,10,20,9,9,8,9,0,7,7,25,"","","",1,1,1,5,1,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,9.09,18.18,27.27,18.18,18.18,9.09,30,10,20,30,5,5,7,4,8,8,8,6,8,8,5,6,7,5,0,0,0,0,0,0,0,0,0,0,0,1,3,1,4,1,9,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1,5
"76",8,0,1,1,25,50,0,30,10,0,10,8,7,7,7,8,7,6,25,"","","",1,1,1,5,1,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,9.09,18.18,27.27,18.18,18.18,9.09,30,10,20,30,5,5,7,4,8,8,8,6,8,8,5,6,7,5,0,0,0,0,0,0,0,0,0,0,0,2,9,1,5,1,7,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1,7
"77",8,0,0,1,30,35,15,25,10,5,10,6,4,7,5,6,4,4,25,"","","",1,1,1,5,1,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,9.09,18.18,27.27,18.18,18.18,9.09,30,10,20,30,5,5,7,4,8,8,8,6,7,8,5,7,7,6,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,2,8,2,9,7,7,5,4,2,6,4,2,7,9,7,7,2,2,4
"78",8,0,1,1,27,33.33,11.11,11.11,11.11,11.11,22.22,9,8,8,8,7,5,5,25,"","","",1,1,1,5,1,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,9.09,18.18,27.27,18.18,18.18,9.09,30,10,20,30,5,5,7,4,8,8,8,5,6,7,4,5,6,4,0,0,0,0,0,0,0,0,0,0,0,8,8,1,6,1,5,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1,5
"79",8,0,1,1,28,50,0,25,10,0,15,8,7,8,10,8,10,8,25,"","","",1,1,1,5,1,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,9.09,18.18,27.27,18.18,18.18,9.09,30,10,20,30,5,5,7,4,8,8,8,8,8,5,9,8,9,10,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,1,10,10,10,10,5,5,6,7,9,8,1,1,7,7,7,7,10,10
"80",8,0,1,1,24,100,0,0,0,0,0,8,10,9,9,8,8,8,25,"","","",1,1,1,5,1,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,9.09,18.18,27.27,18.18,18.18,9.09,30,10,20,30,5,5,7,4,8,8,8,7,6,8,7,9,8,7,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,10,10,10,10,9,9,4,10,10,8,3,8,8,6,6,5,10,6
"81",9,0,0,0,27,35,20,20,20,0,5,6,8,7,8,7,5,4,26,"","","",1,1,1,4,1,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,20,10,20,30,10,10,30,20,10,20,10,10,7,6,10,7,7,8,10,9,8,7,6,5,13.33,17.78,22.22,22.22,13.33,11.11,7,10,8,10,9,3,7,1,5,4,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7
"82",9,0,1,0,22,60,0,0,40,0,0,8,8,10,7,6,5,4,26,"","","",1,1,1,4,1,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,20,10,20,30,10,10,30,20,10,20,10,10,7,6,10,7,7,10,10,10,10,10,10,5,13.33,17.78,22.22,22.22,13.33,11.11,7,10,8,10,9,1,1,1,1,1,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,7
"83",9,0,1,0,22,19,18,19,18,14,12,10,10,10,10,10,10,10,26,"","","",1,1,1,4,1,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,20,10,20,30,10,10,30,20,10,20,10,10,7,6,10,7,7,5,10,10,6,6,6,5,13.33,17.78,22.22,22.22,13.33,11.11,7,10,8,10,9,5,3,2,7,1,7,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1,3
"84",9,0,1,0,23,30,5,15,40,5,5,7,8,7,8,8,7,7,26,"","","",1,1,1,4,1,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,20,10,20,30,10,10,30,20,10,20,10,10,7,6,10,7,7,10,9,8,8,7,7,5,13.33,17.78,22.22,22.22,13.33,11.11,7,10,8,10,9,1,1,2,4,1,10,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1,8
"85",9,0,1,0,24,30,10,20,10,10,20,7,9,8,9,7,7,8,26,"","","",1,1,1,4,1,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,20,10,20,30,10,10,30,20,10,20,10,10,7,6,10,7,7,5,10,8,8,5,5,5,13.33,17.78,22.22,22.22,13.33,11.11,7,10,8,10,9,1,3,1,4,1,9,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1,5
"86",9,0,1,0,25,50,0,30,10,0,10,6,6,7,8,7,7,5,26,"","","",1,1,1,4,1,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,20,10,20,30,10,10,30,20,10,20,10,10,7,6,10,7,7,8,9,9,7,6,5,5,13.33,17.78,22.22,22.22,13.33,11.11,7,10,8,10,9,2,9,1,5,1,7,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1,7
"87",9,0,1,0,30,35,15,25,10,5,10,8,6,7,8,6,5,4,26,"","","",1,1,1,4,1,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,20,10,20,30,10,10,30,20,10,20,10,10,7,6,10,7,7,6,8,9,6,6,6,5,13.33,17.78,22.22,22.22,13.33,11.11,7,10,8,10,9,1,1,3,3,2,8,2,9,7,7,5,4,2,6,4,2,7,9,7,7,2,2,4
"88",9,0,0,0,27,33.33,11.11,11.11,11.11,11.11,22.22,7,7,7,7,6,5,5,26,"","","",1,1,1,4,1,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,20,10,20,30,10,10,30,20,10,20,10,10,7,6,10,7,7,6,7,8,7,9,6,5,13.33,17.78,22.22,22.22,13.33,11.11,7,10,8,10,9,8,8,1,6,1,5,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1,5
"89",9,0,1,0,28,50,0,25,10,0,15,6,6,6,7,6,6,6,26,"","","",1,1,1,4,1,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,20,10,20,30,10,10,30,20,10,20,10,10,7,6,10,7,7,8,5,5,6,5,5,6,13.33,17.78,22.22,22.22,13.33,11.11,7,10,8,10,9,1,1,4,1,1,10,10,10,10,5,5,6,7,9,8,1,1,7,7,7,7,10,10
"90",9,0,0,0,24,100,0,0,0,0,0,5,6,6,6,6,6,6,26,"","","",1,1,1,4,1,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,20,10,20,30,10,10,30,20,10,20,10,10,7,6,10,7,7,7,8,7,8,7,8,5,13.33,17.78,22.22,22.22,13.33,11.11,7,10,8,10,9,1,1,1,1,1,10,10,10,10,9,9,4,10,10,8,3,8,8,6,6,5,10,6
"91",10,0,0,1,27,35,20,20,20,0,5,7,8,7,8,6,5,3,26,"","","",4,4,2,6,1,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,7,15,15,15,40,10,5,45,10,15,20,5,5,6,8,10,6,9,6,10,10,6,6,0,3,35.71,3.57,10.71,28.57,3.57,17.86,10,5,10,10,10,3,7,1,5,4,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7
